metric,threshold,n,k,pivot_changed_rate,pivot_changed_ci_lo,pivot_changed_ci_hi,x_median,gamma,shock_type,lock_in,pivot_is_dominant_rate,HHI_roll_median,HHI_median,max_share_median
max_share,0.50625,54018,943,0.0174571439149913,0.016386506903747607,0.01859641007996366,0.6692520795366772,0.5,inflate_only,1,1.0,0.40743695949686703,0.4887003010234327,0.6692520795366772
max_share,0.50625,45982,10205,0.22193467008829543,0.21815974389872658,0.22575605474134883,0.4199558251195076,0.5,reallocate_total_fixed,0,0.5230307511634987,0.3299920896161469,0.2880528694675037,0.4199558251195076
max_share,0.50625,54018,1430,0.026472657262394016,0.02515214406056418,0.02786051739598268,0.6692520795366772,0.5,reallocate_total_fixed,1,1.0,0.40743695949686703,0.4887003010234327,0.6692520795366772
max_share,0.50625,45982,12397,0.2696054978034883,0.26556880010023604,0.2736806892469373,0.4199558251195076,1.0,inflate_only,0,0.5230307511634987,0.3299920896161469,0.2880528694675037,0.4199558251195076
max_share,0.50625,54018,2201,0.04074567736680366,0.03911084928397213,0.042445822416016715,0.6692520795366772,1.0,inflate_only,1,1.0,0.40743695949686703,0.4887003010234327,0.6692520795366772
max_share,0.50625,45982,14486,0.3150363185594363,0.31080595622181284,0.3192975841687582,0.4199558251195076,1.0,reallocate_total_fixed,0,0.5230307511634987,0.3299920896161469,0.2880528694675037,0.4199558251195076
max_share,0.50625,54018,3369,0.062368099522381426,0.06035974068442746,0.06443870010030876,0.6692520795366772,1.0,reallocate_total_fixed,1,1.0,0.40743695949686703,0.4887003010234327,0.6692520795366772
max_share,0.50625,45982,17156,0.3731025183767561,0.36869275960867975,0.3775334788603363,0.4199558251195076,2.0,inflate_only,0,0.5230307511634987,0.3299920896161469,0.2880528694675037,0.4199558251195076
max_share,0.50625,54018,4692,0.08685993557702988,0.08451420845443235,0.08926442111379769,0.6692520795366772,2.0,inflate_only,1,1.0,0.40743695949686703,0.4887003010234327,0.6692520795366772
max_share,0.50625,45982,19665,0.42766734809273194,0.4231514829235619,0.4321952984214162,0.4199558251195076,2.0,reallocate_total_fixed,0,0.5230307511634987,0.3299920896161469,0.2880528694675037,0.4199558251195076
max_share,0.50625,54018,7007,0.12971602058573067,0.12690888993086577,0.13257581449283531,0.6692520795366772,2.0,reallocate_total_fixed,1,1.0,0.40743695949686703,0.4887003010234327,0.6692520795366772
max_share,0.525,50292,10044,0.19971367215461705,0.19624258322351762,0.20323063286836707,0.4278830819630344,-0.5,inflate_only,0,0.5639067843792254,0.3313146063367705,0.2930353738476369,0.4278830819630344
max_share,0.525,49708,1551,0.031202220970467532,0.029709624636279203,0.032767272216401466,0.6911977821019026,-0.5,inflate_only,1,1.0,0.4322170511542622,0.5129092434901278,0.6911977821019026
