lambda,variable,state,stat,value
0.01,delta_LWMP,lockin,p50,304.2094250000009
0.01,delta_LWMP,lockin,p75,441.2129124999992
0.01,delta_LWMP,lockin,p95,588.3286825000004
0.01,delta_LWMP,lockin,p99,633.9130359999994
0.01,delta_LWMP,lockin,max,686.8437249999988
0.01,delta_LWMP,lockin,share_zero,0.0
0.01,delta_LWMP,non_lockin,n,467857.0
0.01,delta_LWMP,non_lockin,mean,28.569470575234558
0.01,delta_LWMP,non_lockin,std,36.472531024910545
0.01,delta_LWMP,non_lockin,min,0.0
0.01,delta_LWMP,non_lockin,p01,0.0
0.01,delta_LWMP,non_lockin,p05,0.0
0.01,delta_LWMP,non_lockin,p25,3.0874999999941792
0.01,delta_LWMP,non_lockin,p50,17.499999999992724
0.01,delta_LWMP,non_lockin,p75,39.029979895
0.01,delta_LWMP,non_lockin,p95,99.71400000000541
0.01,delta_LWMP,non_lockin,p99,164.8911000000045
0.01,delta_LWMP,non_lockin,max,584.099549999999
0.01,delta_LWMP,non_lockin,share_zero,0.17072738037477264
0.01,kappa_VWAP,lockin,n,583343.0
0.01,kappa_VWAP,lockin,mean,0.684946608848332
0.01,kappa_VWAP,lockin,std,0.1313867306200568
0.01,kappa_VWAP,lockin,min,0.5000003152905967
0.01,kappa_VWAP,lockin,p01,0.5022644112173148
0.01,kappa_VWAP,lockin,p05,0.5115677865419402
0.01,kappa_VWAP,lockin,p25,0.5649670488244061
0.01,kappa_VWAP,lockin,p50,0.6637270212897518
0.01,kappa_VWAP,lockin,p75,0.8000209003892462
0.01,kappa_VWAP,lockin,p95,0.9056916168334764
0.01,kappa_VWAP,lockin,p99,0.946364598524956
0.01,kappa_VWAP,lockin,max,0.9945077405352515
0.01,kappa_VWAP,lockin,share_zero,0.0
0.01,kappa_VWAP,non_lockin,n,467857.0
0.01,kappa_VWAP,non_lockin,mean,0.41109282564531213
0.01,kappa_VWAP,non_lockin,std,0.056307356686339
0.01,kappa_VWAP,non_lockin,min,0.18588630652739258
0.01,kappa_VWAP,non_lockin,p01,0.27276985817385285
0.01,kappa_VWAP,non_lockin,p05,0.3100052002125556
