,delta_abs,g,N,LWMP_exceed_pct,LWMP_CI_lo_pct,LWMP_CI_hi_pct,VWAP_p95_PT,VWAP_p95_CI_lo,VWAP_p95_CI_hi,measure_raw,measure_pretty,scheme
164,0.05,1,20000,2.41,2.2064176547261765,2.6318610087081513,0.44365793728478453,0.4371996217993358,0.4483770918522336,neff,N_eff = 1/HHI (negated for concentration),extreme_decile
165,0.05,10,20000,13.91,13.437324800882177,14.396536870967896,0.8864255985916043,0.8832547836623679,0.8897633005365109,neff,N_eff = 1/HHI (negated for concentration),extreme_decile
166,0.1,1,20000,2.405,2.201633512520897,2.6266470713445544,0.4422385552810382,0.43620258059416384,0.4489643503201263,neff,N_eff = 1/HHI (negated for concentration),extreme_decile
167,0.1,10,20000,14.174999999999999,13.698474211381646,14.665285677618872,0.8884348406241309,0.8856496767350065,0.8917015434752994,neff,N_eff = 1/HHI (negated for concentration),extreme_decile
168,0.05,1,99992,2.05116409312745,1.9651321740287355,2.140880170388595,0.4542273988196008,0.4523587587163503,0.4556390118316714,top_hhi_share,TopHHIShare = max^2/HHI,median
169,0.05,2,99990,13.758375837583758,13.5462569493351,13.973279413792289,0.7644778719860847,0.7591980377190151,0.7695053026292269,top_hhi_share,TopHHIShare = max^2/HHI,median
170,0.1,1,99992,1.9911592927434194,1.9063974269803547,2.0796099271494595,0.4530469448572761,0.4511952409824842,0.45471709869609217,top_hhi_share,TopHHIShare = max^2/HHI,median
171,0.1,2,99990,13.895389538953895,13.682375474403793,14.111177763778823,0.7682641590406636,0.7641707947720338,0.7726381016890549,top_hhi_share,TopHHIShare = max^2/HHI,median
172,0.05,1,66662,0.5490384326902883,0.49572249048438966,0.6080535698481331,0.41821650430113766,0.416927626786748,0.41967727665919297,top_hhi_share,TopHHIShare = max^2/HHI,tercile
173,0.05,2,66660,8.912391239123913,8.698455397695076,9.131062545957302,0.5466981823999436,0.5442177657036114,0.5486279987679146,top_hhi_share,TopHHIShare = max^2/HHI,tercile
174,0.05,3,66660,14.252925292529254,13.989594601539437,14.5203759369721,0.8131500724058189,0.808940837739461,0.8170478885201006,top_hhi_share,TopHHIShare = max^2/HHI,tercile
175,0.1,1,66662,0.4710329723080615,0.4218325307086555,0.5259415989439731,0.41688760763361915,0.41521895566135414,0.41822914976512754,top_hhi_share,TopHHIShare = max^2/HHI,tercile
176,0.1,2,66660,8.99039903990399,8.775607338397668,9.209917216190854,0.5469582383641765,0.544372095409617,0.549582299563788,top_hhi_share,TopHHIShare = max^2/HHI,tercile
177,0.1,3,66660,14.368436843684368,14.104205893909253,14.636774433873114,0.8166762798683748,0.8115973346839932,0.8214034491379422,top_hhi_share,TopHHIShare = max^2/HHI,tercile
178,0.05,1,49996,0.334026722137771,0.28712392392023117,0.38856141665092775,0.398989814302614,0.3976390705271694,0.40043094553663994,top_hhi_share,TopHHIShare = max^2/HHI,quartile
179,0.05,2,49996,3.768301464117129,3.604897574156269,3.938809524307819,0.487159641181763,0.48553766186639336,0.4891677536867641,top_hhi_share,TopHHIShare = max^2/HHI,quartile
180,0.05,3,49996,13.255060404832387,12.960645637025351,13.555121564925146,0.6804120964412704,0.6637056442685337,0.6962940649846835,top_hhi_share,TopHHIShare = max^2/HHI,quartile
181,0.05,4,49994,14.261711405368644,13.957928700643036,14.5709860355483,0.8288587740491418,0.8243918141265347,0.8343017050720715,top_hhi_share,TopHHIShare = max^2/HHI,quartile
182,0.1,1,49996,0.2760220817665413,0.2336961826777115,0.32598879040428325,0.397291893640786,0.39607673031679885,0.39876404143121075,top_hhi_share,TopHHIShare = max^2/HHI,quartile
183,0.1,2,49996,3.7062965037202975,3.5442226120208224,3.875484093610021,0.487050231207603,0.48524069527626,0.48922009194528343,top_hhi_share,TopHHIShare = max^2/HHI,quartile
184,0.1,3,49996,13.415073205856467,13.119133600289384,13.716634615424322,0.6844800534226068,0.6689236730252031,0.6976175344918295,top_hhi_share,TopHHIShare = max^2/HHI,quartile
185,0.1,4,49994,14.37572508701044,14.07091565594727,14.68600892297296,0.8319721118901048,0.8264381153121145,0.8360204149592131,top_hhi_share,TopHHIShare = max^2/HHI,quartile
186,0.05,1,39998,0.25501275063753187,0.2101351618381959,0.3094449166949885,0.3863147451376368,0.3847726251696989,0.387765829167587,top_hhi_share,TopHHIShare = max^2/HHI,quintile
187,0.05,2,39996,1.5251525152515253,1.4096169674684729,1.6499991486113468,0.4571986043938185,0.45542394458018803,0.4588417824142907,top_hhi_share,TopHHIShare = max^2/HHI,quintile
188,0.05,3,39996,9.438443844384437,9.155796783397879,9.7288819999301,0.5402097408715494,0.538022947876568,0.5426737179709129,top_hhi_share,TopHHIShare = max^2/HHI,quintile
189,0.05,4,39996,14.041404140414041,13.704371662618883,14.38534357265345,0.7702553003884824,0.7651631809050153,0.775908352634199,top_hhi_share,TopHHIShare = max^2/HHI,quintile
190,0.05,5,39996,14.263926392639265,13.924630131194451,14.610086866284863,0.8276206133735879,0.8210865580386517,0.835101554090989,top_hhi_share,TopHHIShare = max^2/HHI,quintile
191,0.1,1,39998,0.2175108755437772,0.17638760846904822,0.26819592290516736,0.38547471865436206,0.384051471418219,0.38667553013546324,top_hhi_share,TopHHIShare = max^2/HHI,quintile
192,0.1,2,39996,1.3626362636263627,1.2535959176478633,1.48101891142686,0.45564481999552775,0.454132585354161,0.45726697283079315,top_hhi_share,TopHHIShare = max^2/HHI,quintile
193,0.1,3,39996,9.475947594759477,9.19278780530818,9.766891275020978,0.5385053899870045,0.5361521498341325,0.5407095375508107,top_hhi_share,TopHHIShare = max^2/HHI,quintile
194,0.1,4,39996,14.288928892889288,13.949380056321925,14.635337139158173,0.7751941202568813,0.7694860872319274,0.7798975192631236,top_hhi_share,TopHHIShare = max^2/HHI,quintile
195,0.1,5,39996,14.371437143714372,14.031057339698261,14.718660509184422,0.8329164966612367,0.8257500147209247,0.8386605060073,top_hhi_share,TopHHIShare = max^2/HHI,quintile
196,0.05,1,20000,0.08,0.049250426355422115,0.1299231579824983,0.35601039231280457,0.3543671734358639,0.35793673288506817,top_hhi_share,TopHHIShare = max^2/HHI,decile
197,0.05,2,19998,0.4300430043004301,0.3483789518436549,0.5307480981375828,0.40272196398060717,0.40115040524827994,0.4039681360210123,top_hhi_share,TopHHIShare = max^2/HHI,decile
